2025-09-17 20:37:14.674 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2023-03-27', 'anchorUid': 407193654, 'playCount': 223032511, 'albumTitle': '梦回大明春丨年度历史霸榜作品丨伍壹剧社制作', 'anchorName': '伍壹剧社', 'fansCount': 1871735, 'commentCount': 0, 'trackCount': 1002, 'albumId': 75170441}
2025-09-17 20:37:16.170 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 75170441 章节稍后补爬
2025-09-17 20:37:21.317 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2019-03-23', 'anchorUid': 20606950, 'playCount': 1155443235, 'albumTitle': '史上最强赘婿｜无敌赘婿｜幻樱空演播', 'anchorName': '幻樱空', 'fansCount': 5848046, 'commentCount': 0, 'trackCount': 1589, 'albumId': 22216262}
2025-09-17 20:37:22.877 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 22216262 章节稍后补爬
2025-09-17 20:37:27.885 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-16', 'createDate': '2019-10-30', 'anchorUid': 41986502, 'playCount': 399711454, 'albumTitle': '金瓶梅（国家一级播音员免费版）', 'anchorName': '说书的小马哥', 'fansCount': 2459163, 'commentCount': 0, 'trackCount': 186, 'albumId': 30586083}
2025-09-17 20:37:29.364 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 30586083 章节稍后补爬
2025-09-17 20:37:34.423 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-16', 'createDate': '2021-11-09', 'anchorUid': 44332883, 'playCount': 111253098, 'albumTitle': '我的谍战岁月 | 万历大帝-精品多播', 'anchorName': '万历大帝', 'fansCount': 843682, 'commentCount': 0, 'trackCount': 3159, 'albumId': 54585576}
2025-09-17 20:37:35.944 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 54585576 章节稍后补爬
2025-09-17 20:37:41.068 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-24', 'createDate': '2021-10-20', 'anchorUid': 40084802, 'playCount': 952244305, 'albumTitle': '贞观憨婿|搞笑沙雕&爆笑大唐|VIP免费有声小说', 'anchorName': '安燃', 'fansCount': 3140509, 'commentCount': 0, 'trackCount': 1835, 'albumId': 54021377}
2025-09-17 20:37:42.558 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 54021377 章节稍后补爬
