2025-12-04 13:27:42.744 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：肖俊承
2025-12-04 13:27:42.745 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:42.745 | INFO     | __main__:main:197 - --- 开始处理 23/3228: 深圳市宁濛瑞投资有限公司 ---
2025-12-04 13:27:45.921 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：罗腾子
2025-12-04 13:27:45.922 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:45.922 | INFO     | __main__:main:197 - --- 开始处理 24/3228: 深圳市前海鹏晨源拓投资企业(有限合伙) ---
2025-12-04 13:27:48.313 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：深圳市前海鹏晨德润投资合伙企业（有限合伙） (长度: 21)
2025-12-04 13:27:50.134 | INFO     | __main__:query_legal_person_with_path:143 - [>>>>>>] 找到法人（仍是公司）：深圳市前海鹏晨投资管理有限公司 (长度: 15)
2025-12-04 13:27:53.629 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>>>>] 成功找到人名法人：董玮
2025-12-04 13:27:53.631 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:53.631 | INFO     | __main__:main:197 - --- 开始处理 25/3228: 上海东方证券创新投资有限公司 ---
2025-12-04 13:27:57.741 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：金兆强
2025-12-04 13:27:57.742 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:57.742 | INFO     | __main__:main:197 - --- 开始处理 26/3228: 深圳和而泰智能控制股份有限公司 ---
2025-12-04 13:27:59.761 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：刘建伟
2025-12-04 13:27:59.762 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:59.762 | INFO     | __main__:main:197 - --- 开始处理 27/3228: 中国兵器装备集团有限公司 ---
2025-12-04 13:28:01.964 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：许宪平
2025-12-04 13:28:01.965 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:01.965 | INFO     | __main__:main:197 - --- 开始处理 28/3228: 南方工业资产管理有限责任公司 ---
2025-12-04 13:28:04.339 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：肖勇
2025-12-04 13:28:04.340 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:04.340 | INFO     | __main__:main:197 - --- 开始处理 29/3228: 中钢科技发展有限公司 ---
2025-12-04 13:28:06.295 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：姜宁
2025-12-04 13:28:06.296 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:06.296 | INFO     | __main__:main:197 - --- 开始处理 30/3228: 中国冶金科技成果转化有限公司 ---
2025-12-04 13:28:09.742 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：姜宁
2025-12-04 13:28:09.743 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:09.743 | INFO     | __main__:main:197 - --- 开始处理 31/3228: 洛阳洛耐创拾投资管理中心(有限合伙) ---
2025-12-04 13:28:12.011 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：王文武
2025-12-04 13:28:12.012 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:12.012 | INFO     | __main__:main:197 - --- 开始处理 32/3228: 洛阳洛耐创捌投资管理中心(有限合伙) ---
2025-12-04 13:28:14.668 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：王战民
2025-12-04 13:28:14.669 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:14.669 | INFO     | __main__:main:197 - --- 开始处理 33/3228: 洛阳洛耐创玖投资管理中心(有限合伙) ---
2025-12-04 13:28:16.627 | ERROR    | __main__:query_legal_person_with_path:125 - 反爬机制触发！查询 洛阳洛耐创玖投资管理中心(有限合伙) 失败。
2025-12-04 13:28:16.628 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:16.628 | INFO     | __main__:main:197 - --- 开始处理 34/3228: 洛阳洛耐创贰投资管理中心(有限合伙) ---
2025-12-04 13:28:18.868 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：耿可明
2025-12-04 13:28:18.870 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:18.870 | INFO     | __main__:main:197 - --- 开始处理 35/3228: 洛阳洛耐创肆投资管理中心(有限合伙) ---
2025-12-04 13:28:22.317 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：张利新
2025-12-04 13:28:22.318 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:22.319 | INFO     | __main__:main:197 - --- 开始处理 36/3228: 洛阳洛耐创伍投资管理中心(有限合伙) ---
2025-12-04 13:28:25.239 | ERROR    | __main__:query_legal_person_with_path:125 - 反爬机制触发！查询 洛阳洛耐创伍投资管理中心(有限合伙) 失败。
2025-12-04 13:28:25.240 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:25.240 | INFO     | __main__:main:197 - --- 开始处理 37/3228: 洛阳洛耐创叁投资管理中心(有限合伙) ---
2025-12-04 13:28:28.459 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：李占江
2025-12-04 13:28:28.460 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:28.461 | INFO     | __main__:main:197 - --- 开始处理 38/3228: 洛阳洛耐创壹投资管理中心(有限合伙) ---
2025-12-04 13:28:30.668 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：薄钧
2025-12-04 13:28:30.669 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:30.669 | INFO     | __main__:main:197 - --- 开始处理 39/3228: 洛阳洛耐创拾壹投资管理中心(有限合伙) ---
2025-12-04 13:28:33.087 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：李丹
2025-12-04 13:28:33.088 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:33.088 | INFO     | __main__:main:197 - --- 开始处理 40/3228: 洛阳洛耐创陆投资管理中心(有限合伙) ---
2025-12-04 13:28:35.988 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：吴波
2025-12-04 13:28:35.990 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:28:35.990 | INFO     | __main__:main:197 - --- 开始处理 41/3228: 洛阳洛耐创柒投资管理中心(有限合伙) ---
2025-12-04 13:28:39.177 | ERROR    | __main__:query_legal_person_with_path:125 - 反爬机制触发！查询 洛阳洛耐创柒投资管理中心(有限合伙) 失败。
