公司,路径1,路径2,路径3,最终实际控制人
首发上市前持股超过5万股的员工股东,首发上市前持股超过5万股的员工股东,,,首发上市前持股超过5万股的员工股东
首发上市前持有本行股份的本行董事、监事、高级管理人员,首发上市前持有本行股份的本行董事、监事、高级管理人员,,,张晓玫
首发上市前持有本行股份的本行董事、监事、高级管理人员近亲属,首发上市前持有本行股份的本行董事、监事、高级管理人员近亲属,,,张晓玫
康拓有限公司,康拓有限公司,,,李洪文
Schroders Capital Private Equity Asia Hong Kong I Limited,Schroders Capital Private Equity Asia Hong Kong I Limited,,,Schroders Capital Private Equity Asia Hong Kong I Limited
苏州君联欣康创业投资合伙企业(有限合伙),苏州君联欣康创业投资合伙企业(有限合伙),拉萨君祺企业管理有限公司,,欧阳浩
ASP Hero SPV Limited,ASP Hero SPV Limited,,,ASP Hero SPV Limited
中金启辰(苏州)新兴产业股权投资基金合伙企业(有限合伙),中金启辰(苏州)新兴产业股权投资基金合伙企业(有限合伙),中金资本运营有限公司,,龙亮
嘉兴辰幂德股权投资合伙企业(有限合伙),嘉兴辰幂德股权投资合伙企业(有限合伙),上海迦辰企业管理咨询有限公司,CHING TAN,CHING TAN
中信证券投资有限公司,中信证券投资有限公司,,,方浩
厦门建发新兴产业股权投资柒号合伙企业(有限合伙),厦门建发新兴产业股权投资柒号合伙企业(有限合伙),厦门建鑫投资有限公司,,蔡晓帆
金石制造业转型升级新材料基金(有限合伙),金石制造业转型升级新材料基金(有限合伙),金石投资有限公司,,常军胜
江苏紫金弘云健康产业投资合伙企业(有限合伙),江苏紫金弘云健康产业投资合伙企业(有限合伙),华泰紫金投资有限责任公司,,曹群
苏州辰知德投资合伙企业(有限合伙),苏州辰知德投资合伙企业(有限合伙),上海甲辰私募基金管理有限公司,TAN CHING,TAN CHING
同源(天津)企业管理中心(有限合伙),同源(天津)企业管理中心(有限合伙),,,张野川
阿里巴巴(中国)网络技术有限公司,阿里巴巴(中国)网络技术有限公司,,,蒋芳
